Word,Translation,Context (RU),Context (EN),POS
молчание,"silence, quiet, taciturnity","это услышал и понял, что молчание не то чтобы полезнее, оно менее вредно","heard it all, and I understand that silence isn't just more beneficial, it's less harmful",Noun
распоряжаться,"to manage, to dispose of, to order",по сути не имеют права распоряжаться собственной жизнью. И в это же самое,essentially have no right to manage their own lives. And at the same,Verb
клетка,"cage, cell, клеток","своим правам. Мужчины, которые сегодня четвёртый год заперты в клетке, которые","their rights. Men who have been locked in a cage for four years now, who",Noun
поразить,"amazed, struck, astonished","что мужчины абсолютно поражены в правах, в то время как женщины получили буст к","that men are completely disenfranchised, while women have received a boost to",Verb
вред,"harm, damage, injury","острые угры углы пропали, потому что я понял, что вреда для меня и моей","sharp edges had disappeared, because I realized that it was doing more harm to me and my",Noun
острый,"sharp, acute, keen","острые угры углы пропали, потому что я понял, что вреда для меня и моей","sharp edges had disappeared, because I realized that it was doing more harm to me and my",Adj
круглиться,"curved, rounded, became rounded","сильно скруглилась,","rounded, the",Verb
работяга,"hard workers, laborers, workhorses","в обвинительном тоне. Почему ты молчишь об обычных работягах твоих зрителей,","in an accusatory tone. Why aren't you talking about the usual  What about the working people of your viewers,",Noun
обвинительный,"accusatory, incriminating, convicting","в обвинительном тоне. Почему ты молчишь об обычных работягах твоих зрителей,","in an accusatory tone. Why aren't you talking about the usual  What about the working people of your viewers,",Adj
худой,"thin, skinny, lean",реально надо набрать хотя бы килограмм 10. Я очень худой. Я очень худой. Мне,really need to gain at least 10 kilograms. I'm very thin. I'm very thin. I,Adj
набрать,"dial, collect, gain","быть, в будущем буду. А если соберусь в который раз набрать ве Мне",Maybe in the future. And if I decide to gain weight again... I,Verb
варёный,"boiled, cooked, stewed","клетчатки, а много варёного. Стараюсь, чтобы еда была наименее","fiber, and a lot of boiled foods. I try to keep my food as minimally",Adj
каша,"porridge, gruel, cereal","отдышки и вот этого всего. Поэтому, да, диеты есть, я я много каши, много","breath and all that. So, yes, there are diets, I eat a lot of porridge, a lot of",Det
клетчатка,"fiber, cellulose, tissue","клетчатки, а много варёного. Стараюсь, чтобы еда была наименее","fiber, and a lot of boiled foods. I try to keep my food as minimally",Noun
устраивать,"to arrange, to organize, to set up","чтобы мне было легко иногда устраивать читмил, который я хочу, а чтобы не было","easy for me to sometimes have the cheat meal I want, and so that I don't get out of",Verb
жрать,"to eat, to pig out, to devour","всё. Но я проявляю столько силы воли это не жрать, просто потому что я хочу,","stuff. But I exert so much willpower not to eat it, simply because I want the",Verb
воля,"will, freedom, liberty","всё. Но я проявляю столько силы воли это не жрать, просто потому что я хочу,","stuff. But I exert so much willpower not to eat it, simply because I want the",Noun
проявлять,"show, manifest, display","всё. Но я проявляю столько силы воли это не жрать, просто потому что я хочу,","stuff. But I exert so much willpower not to eat it, simply because I want the",Verb
углевод,"carbohydrate, carbohydrates, carbs","Э, мало ем углеводов, практически исключил из своего рациона сладкое,","Eh, I eat few carbohydrates, I practically excluded sweets from my diet,",Noun
белок,"squirrel, protein, red squirrel","надо. Я ем много полезных жиров. Я ем много полезного белка, а природного,","need to eat. I eat a lot of healthy fats. I eat a lot of healthy protein, and natural,",Noun
жир,"grease, fats, fat","надо. Я ем много полезных жиров. Я ем много полезного белка, а природного,","need to eat. I eat a lot of healthy fats. I eat a lot of healthy protein, and natural,",Noun
сожрать,"devour, gobble up, eat up","считаю калорий. Я не боюсь сожрать много, потому что мне есть куда","count calories. I’m not afraid to eat a lot, because I have room to",Verb
кубик,"dice, cubes, cube","кубиков. Да, некая диета есть. Я не ем практически никогда,","six-pack abs. Yes, I do have some kind of diet. I almost never eat,",Noun
очертание,"outlines, contours, shapes",третьем-четвёртом месяце. У меня есть пресс и даже некие очертания,third or fourth month. I have abs and even some outlines of,Noun
пресса,"press, printing press, media",третьем-четвёртом месяце. У меня есть пресс и даже некие очертания,third or fourth month. I have abs and even some outlines of,Noun
беременный,"pregnant, with child, expecting","много моих одногодок сегодня ходит беременными, а, как минимум на","lot of my peers are pregnant these days , at least in their",Adj
одногодка,"peer, contemporary, person of the same age","много моих одногодок сегодня ходит беременными, а, как минимум на","lot of my peers are pregnant these days , at least in their",Noun
бжу,"PFC, macronutrients, protein, fat, carbohydrates","тебя какая-то диета с точки зрения БЖУ?"""" А, Матвей, как ты мог заметить, очень","you have some kind of diet in terms of proteins, fats, and carbohydrates?"""" Ah, Matvey, as you may have noticed, a",Propn
снг,"CIS, Commonwealth of Independent States, SNG","И я был первым человеком в СНГ, кто отрекламил TikTok. И условие было какое:",And I was the first person in the CIS to advertise on TikTok. And the condition was:,Propn
мерка,"standards, measure, size","интеграцию по тем меркам 10.000 долларов,","10,000 for integration by those standards , $",Noun
срок,"deadlines, terms, term","договор давным-давно выполнен, а сроки все прошли, по-моему,","the contract was fulfilled long ago , and all the deadlines have passed, I think it",Noun
сизо,"remand prison, SIZO, pre-trial detention center","не заперла его где-то в СИЗО. Он спокойно катается, критикует. А на чём","n't locked him away in a pre-trial detention center somewhere. He's freely traveling, criticizing. And",Noun
запереть,"locked, shut, closed","не заперла его где-то в СИЗО. Он спокойно катается, критикует. А на чём","n't locked him away in a pre-trial detention center somewhere. He's freely traveling, criticizing. And",Verb
судья,"judge, referee, umpire","продолжал сливать информацию про следователей, про судей, критиковать эту","continued to leak information about investigators, about judges, and criticize this",Noun
сливать,"to pour, to leak, to merge","продолжал сливать информацию про следователей, про судей, критиковать эту","continued to leak information about investigators, about judges, and criticize this",Verb
следствие,"consequence, investigation, effect","свободные. Так Франция есть свободные. Он, даже находясь под следствием,","free. Well, France is free. Even while under investigation, he",Noun
приходиться,"had to, used to, was necessary","приходилось уезжать, потому что у вас бизнес отжали? Почему-то об этом он не","have to leave, including because your business was taken away? For some reason, he doesn't talk about this",Verb
насчёт,"about, concerning, regarding","была не в одну калитку, не только во французскую. Пожалуйста, что насчёт","to be more than one-sided, not just French. Please, what about",Noun
калитка,"wicket, gate, small gate","была не в одну калитку, не только во французскую. Пожалуйста, что насчёт","to be more than one-sided, not just French. Please, what about",Noun
испытывать,"experiences, feels, undergoes","испытывает трудности. И Павел Дуров, будучи гражданином этой страны, имеет","struggling. And Pavel Durov, as a citizen of that country, has the",Verb
медийный,"media, promotional, advertising","высказывание дурого - это абсолютный кринж. то, что он устроил медийную атаку",Durov's statement is absolute cringe. I don't dispute that he launched a media attack on,Adj
крутой,"coolest, steep, tough",Павел Дуров. Я не отменяю его заслуг в создании Телеграма. Это крутейший,Pavel Durov. I don't deny his contributions to Telegram's creation. It's a fantastic,Adj
заслуга,"merit, service, credit",Павел Дуров. Я не отменяю его заслуг в создании Телеграма. Это крутейший,Pavel Durov. I don't deny his contributions to Telegram's creation. It's a fantastic,Noun
отменять,"cancel, revoke, rescind",Павел Дуров. Я не отменяю его заслуг в создании Телеграма. Это крутейший,Pavel Durov. I don't deny his contributions to Telegram's creation. It's a fantastic,Verb
раздражать,"irritate, annoy, exasperate","его действия? Каким видишь будущее Телеграма?"""" Меня начал сильно раздражать","his actions?  How do you see the future of Telegram?"""" I'm starting to get really annoyed with",Verb
бабл,"money, cash, dough","же Евлеева, вы что, думаете, у неё бабла не хватило? У неё бабло было бы, да,","Take Evleeva, do you think she didn't have enough cash? She would have had cash, yes,",Noun
кривая,"crooked, curve, curved","весь мой кривой базар. А просто хочется большего, скорее всего, очень много. Та","all my crooked talk. But I just want more, most likely, a lot.",Adj
осуждать,"condemned, condemn, judge","осуждаемая, потому что, ну, и так бабла валом. С такими просмотрами можно","condemned, because, well, there's already a ton of cash. With views like that, you can",Verb
прежний,"former, old, previous","и надо примазаться к власти, чтобы восстановить прежние финансовые потоки.",and needed to get involved  The authorities are trying to restore the previous financial flows.,Adj
поток,"streams, flows, currents","и надо примазаться к власти, чтобы восстановить прежние финансовые потоки.",and needed to get involved  The authorities are trying to restore the previous financial flows.,Noun
примазаться,"to latch onto, to piggyback on, to get in on","и надо примазаться к власти, чтобы восстановить прежние финансовые потоки.",and needed to get involved  The authorities are trying to restore the previous financial flows.,Verb
рекламодатель,"advertisers, advertiser, sponsors","то, что чувак столкнулся с проблемой рекламодателей",fact that the guy ran into a problem with advertisers,Noun
утверждать,"assert, affirm, state","правдоподобная не значит стопроцентная, имейте в виду, я не могу утверждать. А","plausible doesn't mean 100%, keep in mind, I can't say for sure. And the",Verb
